Wavelength_nm,-15.0V,-14.0V,-13.0V,-12.0V,-11.0V,-7.9V,-4.0V,-1.0V
1008,0.5836118602616459,0.5792895013590893,0.5781150463716658,0.5720826834250927,0.5586416698022509,0.4113449485692011,0.1050307102355715,0.008441108365340412
1009,0.5841126971390436,0.5798107856732799,0.5786245868569007,0.5725105402136126,0.55896366567067,0.41063260330800655,0.10281346066941567,0.008130489707691622
1010,0.5846870075847996,0.5804026057565228,0.579210019973307,0.5730217393803869,0.5593669533669521,0.40991700428234235,0.10061763566726922,0.007827086523761384
1011,0.585330964909436,0.5810612496333337,0.5798672401028726,0.5736116326734837,0.5598469759793119,0.4091979630776593,0.098443552036821,0.0075308173257050744
1012,0.5860407419028143,0.5817830048280838,0.5805921411711092,0.5742755712515641,0.5603991760166325,0.40847529126122567,0.09629152656630446,0.007241600675627381
1013,0.5868125113039548,0.5825641588163057,0.5813806170589544,0.5750089062157349,0.5610189959312265,0.4077488003985341,0.09416187604205331,0.006959355140510425
1014,0.5876424458491462,0.5834009990709079,0.582228561644951,0.5758069886640099,0.5617018781723668,0.407018302054982,0.09205491725029918,0.006683999287598432
1015,0.5885267182746139,0.5842898130647385,0.5831318688075862,0.5766651696943326,0.5624432651892566,0.4062836077959645,0.08997096697727133,0.006415451684141633
1016,0.5894615013165838,0.5852268882706457,0.5840864324253482,0.5775788004046458,0.5632385994310987,0.40554452918687667,0.087910342009199,0.0061536308973902595
1017,0.5904429677112817,0.5862085121614777,0.5850881463767243,0.578543231892893,0.5640833233470961,0.40480087779311374,0.08587335913231148,0.005898455494594539
1018,0.5914672901949332,0.5872309722100826,0.5861329045402024,0.5795538152570171,0.5649728793864522,0.4040524651800709,0.08386033513283804,0.005649844043004704
1019,0.5925306415037683,0.5882905558893133,0.5872166007942748,0.5806059015949676,0.5659027099983762,0.403299102913143,0.08187158679700794,0.005407715109870985
1020,0.593629194374206,0.5893835506722137,0.5883351290176535,0.5816948420049659,0.5668682576323444,0.4025406025577255,0.07990743091105049,0.005171987262443611
1021,0.5947591215461737,0.590506244035393,0.5894843830931253,0.5828159875902938,0.567864964742807,0.40177677567921344,0.07796818426119488,0.004942579067972814
1022,0.5959165957955364,0.5916549234919694,0.5906602569452108,0.5839646895060606,0.5688882738351502,0.40100743384300197,0.07605416363367044,0.0047194090937088245
1023,0.5970977901409783,0.5928258768017445,0.5918586447804188,0.585136299257559,0.5699336277589242,0.4002323886144861,0.07416568581470645,0.0045023959069018715
1024,0.5982988788346977,0.5940153929776621,0.5930754422377449,0.5863261701290021,0.5709964711120169,0.3994514515590612,0.07230306759053214,0.004291458074802187
1025,0.5995160411865064,0.5952197661707626,0.5943065508296244,0.5875296626984771,0.5720722556607998,0.3986644342421223,0.0704666257473768,0.00408651416466
1026,0.6007454736231835,0.5964353079214348,0.5955478919465328,0.5887421622294244,0.5731564574326247,0.39787114822906455,0.06865667707146969,0.003887482743725544
1027,0.6019834205738634,0.5976583785362852,0.5967954427243849,0.5899591232122199,0.5742446204916787,0.39707140508528305,0.06687353834904008,0.003694282379249047
1028,0.6032262380668945,0.5988854516970112,0.5980453098999642,0.5911761610808286,0.5753324470789127,0.39626501637617295,0.06511752636631726,0.0035068316384807394
1029,0.6044704972382068,0.6001132196159005,0.5992938500158449,0.5923892014881282,0.5764159443211297,0.39545179366712946,0.06338895790953047,0.0033250490886708524
1030,0.6057131129741175,0.6013387237257253,0.6005378188140897,0.5935946658290305,0.5774916065647269,0.39463154852354765,0.06168814976490901,0.003148853297069616
1031,0.606951455575381,0.6025594681207055,0.6017745009124162,0.5947896322775803,0.5785565736443603,0.3938040925108227,0.06001541871868212,0.0029781628309272614
1032,0.6081833955271957,0.603773465038939,0.6030017617958867,0.595971900352332,0.5796086943383607,0.39296923719434973,0.05837108155707908,0.0028128962574940184
1033,0.6094072587291977,0.6049791893799714,0.6042179958252187,0.5971399263509725,0.5806464629133177,0.39212679413952395,0.05675545506632917,0.002652972144020118
1034,0.610621714831409,0.606175465263833,0.6054219965606182,0.5982926623132233,0.5816688608554149,0.3912765749117404,0.05516885603266164,0.0024983090577557912
1035,0.6118256485914346,0.6073613353411442,0.6066128073680814,0.5994293704977183,0.5826751745366888,0.3904183910763943,0.05361160124230578,0.0023488255659512665
1036,0.6130180563660927,0.6085359556376164,0.607789601214474,0.6005494741066804,0.5836648485059386,0.3895520541988807,0.05208400748149085,0.0022044402358567766
1037,0.6141979825145576,0.6096985309451786,0.6089516068121001,0.6016524655692685,0.5846373953487993,0.38867737584459494,0.05058639153644612,0.0020650716347225505
1038,0.6153644885129697,0.6108482834451083,0.610098072751305,0.6027378619999945,0.5855923519118866,0.3877941675789319,0.04911907019340085,0.0019306383297988203
1039,0.6165166408950864,0.6119844404567817,0.6112282534958746,0.6038051878072457,0.5865292622103004,0.3869022409672873,0.04768236023858288,0.0018010588883358148
1040,0.617653507428279,0.6131062305528012,0.6123414049421725,0.6048539691783974,0.5874476720075441,0.3860014075750807,0.04627657845815704,0.001676251877583765
1041,0.6187741561246116,0.6142128825540301,0.6134367832702201,0.6058837326522746,0.5883471274124907,0.38509147896817075,0.04490204163711603,0.001556135864792902
1042,0.6198776550512686,0.6153036253339862,0.6145136447188797,0.6068940048324807,0.5892271745973038,0.38417226671691745,0.04355906654844873,0.0014406294172134558
1043,0.6209630724085603,0.6163776878788483,0.6155712456466764,0.6078843124151991,0.5900873598225957,0.3832435824220951,0.042247969884036396,0.0013296511020956566
1044,0.6220294770554327,0.6174342997291872,0.6166088429995356,0.6088541825414746,0.590927229773297,0.38230523783897974,0.040969067923737175,0.0012231194866897358
1045,0.6230759405505819,0.6184726926978955,0.617625696130929,0.6098031441752538,0.5917463328730224,0.38135704535633225,0.039722675258044515,0.001120953138245923
1046,0.6241015435897109,0.6194921062882861,0.6186210725424,0.6107307324498799,0.5925442234297633,0.38039881950687554,0.03850910075997381,0.0010230706240144487
1047,0.6251053924920966,0.620491801570477,0.6195942625857233,0.6116364997999857,0.5933204722534968,0.3794303808358025,0.03732863726860024,0.0009293905112455442
1048,0.6260866531484819,0.6214710897545954,0.6205446097364803,0.6125200388834442,0.5940746885191619,0.37845156386651324,0.03618154034618046,0.0008398313671894393
1049,0.6270446062736614,0.6224293786956783,0.6214715598664362,0.6133810198884595,0.5948065553501976,0.377462230065415,0.03506799370387027,0.0007543117590963649
1050,0.627978716075788,0.6233662306911347,0.6223747224804889,0.6142192368997579,0.5955158740426556,0.3764622839549012,0.03398806623193767,0.0006727502542165511
1051,0.6288886898624467,0.6242814126498859,0.6232539238713406,0.6150346481451967,0.5962026024524534,0.37545168709968,0.032941674701286464,0.0005950654198002286
1052,0.6297745019388075,0.6251749162069182,0.6241092284310552,0.6158273921320316,0.5968668703861599,0.37443046371438066,0.03192856880919891,0.000521175823097628
1053,0.6306363697094732,0.6260469376087303,0.6249409173395009,0.6165977715106503,0.5975089642102098,0.3733986950559469,0.030948346133593076,0.0004510000313589795
1054,0.6314746940724038,0.6268978275441924,0.6257494354096786,0.6173462128279613,0.5981292884636507,0.37235650543730897,0.030000489431499217,0.00038445661183451386
1055,0.6322899907496119,0.6277280333470853,0.6265353298507734,0.6180732201612051,0.5987283216340296,0.37130404611440393,0.029084409608846742,0.00032146413177446144
1056,0.6330828350345756,0.6285380524911982,0.6272992009957763,0.6187793378108623,0.599306580573856,0.3702414823213765,0.02819948029474653,0.0002619411584290527
1057,0.6338538278443475,0.6293284040171261,0.6280416720279101,0.6194651273787026,0.599864598637625,0.36916898530484077,0.02734505908436926,0.00020580625904851831
1058,0.6346035792329863,0.6300996146558837,0.6287633742784691,0.6201311566358931,0.6004029150642081,0.3680867284553733,0.026520497855407527,0.0001529780008830886
1059,0.6353327019542969,0.6308522134108033,0.6294649414862894,0.6207779951764957,0.6009220708311549,0.36699488579703543,0.02572514679618927,0.00010337495118299415
1060,0.6360418094205313,0.631586729839418,0.6301470079773879,0.6214062130391624,0.6014226073400666,0.3658936315083902,0.02495835568301928,5.6915677198465374e-05
1061,0.6367315151735585,0.6323036936083565,0.630810208193369,0.6220163803500637,0.6019050660760183,0.3647831397984149,0.024219474211094744,1.3518746179732801e-05
1062,0.6374024327744304,0.6330036344003933,0.6314551765929443,0.6226090672483227,0.6023699885364406,0.36366358488058814,0.023507852063609027,-2.689727462297308e-05
1063,0.638055175786072,0.6336870818998799,0.6320825476364957,0.6231848438743273,0.6028179162199696,0.3625351409688278,0.022822838922583348,-6.441381795942177e-05
1064,0.6386903577715091,0.6343545657912519,0.6326929557844947,0.6237442803685331,0.6032493906253065,0.36139798227707554,0.022163784469975956,-9.911231657938278e-05
1065,0.6393085922937696,0.6350066157589476,0.6332870354974152,0.624287946871398,0.6036649532511538,0.3602522830192736,0.02153003838774363,-0.0001310742032326256
1066,0.6399104929158819,0.6356437614874046,0.6338654212357308,0.624816413523379,0.6040651455962145,0.3590982174093642,0.020920950357843172,-0.00016038091066891973
1067,0.6404966732008737,0.636266532661061,0.6344287474599153,0.6253302504649338,0.6044505091591912,0.3579359596612894,0.020335870062231375,-0.00018711387163803474
1068,0.6410677467117734,0.6368754589643546,0.6349776486304421,0.6258300278365199,0.6048215854387864,0.35676568398899144,0.01977414718286503,-0.00021135451888974006
1069,0.641624327011609,0.6374710700817234,0.6355127592077856,0.6263163157785945,0.6051789159337029,0.3555875646064126,0.01923513140170092,-0.00023318428517380527
1070,0.6421670276634084,0.6380538956976054,0.636034713652419,0.626789684431615,0.6055230421426434,0.3544017757274949,0.018718172400695857,-0.0002526846032399998
1071,0.6426964622301998,0.6386244654964384,0.6365441464248162,0.6272507039360389,0.6058545055643105,0.3532084915661806,0.018222619861806615,-0.0002699369058380933
1072,0.6432132442750114,0.6391833091626602,0.6370416919854507,0.6276999444323237,0.6061738476974069,0.352007886336412,0.017747823466990005,-0.00028502262571785514
1073,0.643717987360871,0.6397309563807092,0.6375279847947963,0.6281379760609267,0.6064816100406353,0.3508001342521312,0.017293132898202803,-0.00029802319562905486
1074,0.6442113050508068,0.6402679368350227,0.638003659313327,0.6285653689623054,0.6067783340926984,0.3495854095272803,0.01685789783740181,-0.0003090200483214621
1075,0.644693810907847,0.6407947802100391,0.6384693500015164,0.6289826932769174,0.6070645613522987,0.3483638863758015,0.016441467966543825,-0.0003180946165448461
1076,0.6451661184950194,0.641312016190196,0.638925691319838,0.6293905191452196,0.6073408333181392,0.34713573901163713,0.016043192967585627,-0.00032532833304897647
1077,0.6456288413753524,0.6418201744599316,0.6393733177287655,0.62978941670767,0.6076076914889221,0.3459011416487293,0.015662422522484017,-0.0003308026305836229
